İlan Oluşturma Tarihi,Net Metrekare,Ilce,Error,Fiyat Durumu,Kategorisi,Binanın Yaşı,Tipi,Tapu Durumu,Türü,Slug,Takas,url,Banyo Sayısı,__source_file,İlan Numarası,Isıtma Tipi,Baslik,Kullanım Durumu,Binanın Kat Sayısı,Fiyat,İlan Güncelleme Tarihi,Oda Sayısı,Site İçerisinde,Bulunduğu Kat,ParseStatus,Lokasyon,Krediye Uygunluk,Brüt Metrekare,Il,Ilce_sayfa,Mahalle,Yakin_Ulasim_Min_m,Yakin_Egitim_Min_m,Yakin_Market_Min_m,Yakininda_JSON,Ilan_Ozellikleri,Ilan_Ozellik_Sayisi,Bolge_1Y_Deger_Degisimi,Demo_Toplam_Nufus,Demo_Egitim_Durumu,Demo_Ortalama_Yas,Demo_Medeni_Hal,Demo_Sosyo_Ekonomik_Statu,Demo_Hane_Halki_Geliri,Demo_Hane_Halki_Geliri_TL
,125 m²,Polatlı,,Genel Fiyat,Satılık,5-10,Daire,Kat Mülkiyeti,Konut,polatli,Yok,https://www.emlakjet.com/ilan/fatih-mah-cadde-uzeri-ara-kat-31-satilik-18847307,1,ankara_20-25_ilce_12sayfa.csv,18847307.0,Kombi Doğalgaz,Fatih Mah / Cadde Üzeri / Ara Kat / 3+1 / Satılık,Boş,4.0,3.785.000 TL,17 Nisan 2026,3+1,Hayır,2.Kat,OK,Ankara - Polatlı - Fatih Mahallesi,Krediye Uygun,135 m²,Ankara,Polatlı,Fatih Mahallesi,52.0,52.0,52.0,"{""Ulaşım"":[{""name"":""Otobüs Durağı"",""distance_m"":195},{""name"":""53031 Nolu Otobüs Durağı"",""distance_m"":298},{""name"":""Otobüs Durağı"",""distance_m"":311},{""name"":""Polatlı Şehit Abdullah Erkmen İlkokulu"",""distance_m"":149},{""name"":""İlkadım Anaokulu"",""distance_m"":155},{""name"":""Diyanet Çocuk Evi Kuran Kursu"",""distance_m"":211},{""name"":""Bim - Ziya Gökalp Şubesi"",""distance_m"":52},{""name"":""Şok - Polatlı Ziya Gökalp Mağazası"",""distance_m"":119}],""Eğitim Kurumları"":[{""name"":""Otobüs Durağı"",""distance_m"":195},{""name"":""53031 Nolu Otobüs Durağı"",""distance_m"":298},{""name"":""Otobüs Durağı"",""distance_m"":311},{""name"":""Polatlı Şehit Abdullah Erkmen İlkokulu"",""distance_m"":149},{""name"":""İlkadım Anaokulu"",""distance_m"":155},{""name"":""Diyanet Çocuk Evi Kuran Kursu"",""distance_m"":211},{""name"":""Bim - Ziya Gökalp Şubesi"",""distance_m"":52},{""name"":""Şok - Polatlı Ziya Gökalp Mağazası"",""distance_m"":119}],""Marketler"":[{""name"":""Otobüs Durağı"",""distance_m"":195},{""name"":""53031 Nolu Otobüs Durağı"",""distance_m"":298},{""name"":""Otobüs Durağı"",""distance_m"":311},{""name"":""Polatlı Şehit Abdullah Erkmen İlkokulu"",""distance_m"":149},{""name"":""İlkadım Anaokulu"",""distance_m"":155},{""name"":""Diyanet Çocuk Evi Kuran Kursu"",""distance_m"":211},{""name"":""Bim - Ziya Gökalp Şubesi"",""distance_m"":52},{""name"":""Şok - Polatlı Ziya Gökalp Mağazası"",""distance_m"":119}]}",Kablo TV - Uydu|Seramik Zemin|Çelik Kapı|Vestiyer|Ocak Doğalgazı|Isı Yalıtımı|Kuzey Cepheli|Doğu Cepheli|Caddeye Yakın|Semt Pazarına Yakın|Okula Yakın|Camiye Yakın,12.0,35.0,11.142 - Normal,%28 İlkokul,33,%48 Evli,C,49.201 TL,49201.0
,135 m²,Polatlı,,Genel Fiyat,Satılık,5-10,Daire,Kat Mülkiyeti,Konut,polatli,Yok,https://www.emlakjet.com/ilan/fatih-mah-2-kat-dogu-bati-cephe-firsat-daire-18847208,1,ankara_20-25_ilce_12sayfa.csv,18847208.0,Kombi Doğalgaz,Fatih Mah / 2.kat / Doğu Batı Cephe / Fırsat Daire,Mülk Sahibi Oturuyor,3.0,3.600.000 TL,17 Nisan 2026,3+1,Hayır,2.Kat,OK,Ankara - Polatlı - Fatih Mahallesi,Krediye Uygun,155 m²,Ankara,Polatlı,Fatih Mahallesi,95.0,95.0,95.0,"{""Ulaşım"":[{""name"":""Otobüs Durağı"",""distance_m"":95},{""name"":""56044 Nolu Otobüs Durağı"",""distance_m"":135},{""name"":""Otobüs Durağı"",""distance_m"":146},{""name"":""Polatlı Beştepe Kız Mesleki Ve Teknik Anadolu Lisesi"",""distance_m"":113},{""name"":""Polatlı Zafer Ortaokulu"",""distance_m"":129},{""name"":""Şehit Seher Yaşar Kız Anadolu İmam Hatip Lisesi"",""distance_m"":240},{""name"":""İskonto Gross"",""distance_m"":122},{""name"":""Yunus"",""distance_m"":216}],""Eğitim Kurumları"":[{""name"":""Otobüs Durağı"",""distance_m"":95},{""name"":""56044 Nolu Otobüs Durağı"",""distance_m"":135},{""name"":""Otobüs Durağı"",""distance_m"":146},{""name"":""Polatlı Beştepe Kız Mesleki Ve Teknik Anadolu Lisesi"",""distance_m"":113},{""name"":""Polatlı Zafer Ortaokulu"",""distance_m"":129},{""name"":""Şehit Seher Yaşar Kız Anadolu İmam Hatip Lisesi"",""distance_m"":240},{""name"":""İskonto Gross"",""distance_m"":122},{""name"":""Yunus"",""distance_m"":216}],""Marketler"":[{""name"":""Otobüs Durağı"",""distance_m"":95},{""name"":""56044 Nolu Otobüs Durağı"",""distance_m"":135},{""name"":""Otobüs Durağı"",""distance_m"":146},{""name"":""Polatlı Beştepe Kız Mesleki Ve Teknik Anadolu Lisesi"",""distance_m"":113},{""name"":""Polatlı Zafer Ortaokulu"",""distance_m"":129},{""name"":""Şehit Seher Yaşar Kız Anadolu İmam Hatip Lisesi"",""distance_m"":240},{""name"":""İskonto Gross"",""distance_m"":122},{""name"":""Yunus"",""distance_m"":216}]}",Wi-Fi|Fiber|Kablo TV - Uydu|Duşakabinli|Çelik Kapı|Vestiyer|Isı Yalıtımı|Doğu Cepheli|Batı Cepheli|Caddeye Yakın|Semt Pazarına Yakın|Okula Yakın,12.0,35.0,11.142 - Normal,%28 İlkokul,33,%48 Evli,C,49.201 TL,49201.0
,105 m²,Polatlı,,Genel Fiyat,Satılık,21 Ve Üzeri,Daire,Kat Mülkiyeti,Konut,polatli,,https://www.emlakjet.com/ilan/polatli-acil-satilik-31-daire-18838540,1,ankara_20-25_ilce_12sayfa.csv,18838540.0,Kombi Doğalgaz,Polatlı Acil Satılık 3+1 Daire,Kiracı Oturuyor,4.0,Anasayfa>Satılık Daire>Ankara Satılık Daire>Polatlı Satılık Daire>Cumhuriyet Mahallesi Satılık Daire> POLATLI ACİL SATILIK 3+1 DAİRE,05 Şubat 2026,3+1,Hayır,1.Kat,OK,Ankara - Polatlı - Cumhuriyet Mahallesi,Krediye Uygun,110 m²,Ankara,Polatlı,Cumhuriyet Mahallesi,54.0,54.0,54.0,"{""Ulaşım"":[{""name"":""Tuna Taksi Durağı"",""distance_m"":54},{""name"":""Otobüs Durağı"",""distance_m"":60},{""name"":""Varan Taksi Durağı"",""distance_m"":109},{""name"":""Şehit Bekir Pehlivan Ortaokulu"",""distance_m"":146},{""name"":""Ankara Polatlı Sakarya İlkokulu"",""distance_m"":153},{""name"":""Şehit Cüneyt Sertel Anaokulu"",""distance_m"":203},{""name"":""Bim - Eti Cad. Şubesi"",""distance_m"":59},{""name"":""Polatlı Belediyesi Kapalı Perşembe Pazar Alanı"",""distance_m"":107}],""Eğitim Kurumları"":[{""name"":""Tuna Taksi Durağı"",""distance_m"":54},{""name"":""Otobüs Durağı"",""distance_m"":60},{""name"":""Varan Taksi Durağı"",""distance_m"":109},{""name"":""Şehit Bekir Pehlivan Ortaokulu"",""distance_m"":146},{""name"":""Ankara Polatlı Sakarya İlkokulu"",""distance_m"":153},{""name"":""Şehit Cüneyt Sertel Anaokulu"",""distance_m"":203},{""name"":""Bim - Eti Cad. Şubesi"",""distance_m"":59},{""name"":""Polatlı Belediyesi Kapalı Perşembe Pazar Alanı"",""distance_m"":107}],""Marketler"":[{""name"":""Tuna Taksi Durağı"",""distance_m"":54},{""name"":""Otobüs Durağı"",""distance_m"":60},{""name"":""Varan Taksi Durağı"",""distance_m"":109},{""name"":""Şehit Bekir Pehlivan Ortaokulu"",""distance_m"":146},{""name"":""Ankara Polatlı Sakarya İlkokulu"",""distance_m"":153},{""name"":""Şehit Cüneyt Sertel Anaokulu"",""distance_m"":203},{""name"":""Bim - Eti Cad. Şubesi"",""distance_m"":59},{""name"":""Polatlı Belediyesi Kapalı Perşembe Pazar Alanı"",""distance_m"":107}]}",,,8.0,9.652 - Normal,%32 İlkokul,37,%44 Evli,C,42.033 TL,42033.0
,115 m²,Polatlı,,Genel Fiyat,Satılık,21 Ve Üzeri,Daire,Kat İrtifakı,Konut,polatli,Yok,https://www.emlakjet.com/ilan/tuna-gayrimenkul-den-satilik-merkezde-satilik-ara-kat-31-18837698,1,ankara_20-25_ilce_12sayfa.csv,18837698.0,Kombi Doğalgaz,Tuna Gayrimenkul'den // Satılık Merkezde Satılık Ara Kat 3+1,Boş,4.0,1.385.000 TL,07 Şubat 2026,3+1,Hayır,3.Kat,OK,Ankara - Polatlı - Yeni Mahallesi,Krediye Uygun,130 m²,Ankara,Polatlı,Yeni Mahallesi,105.0,105.0,105.0,"{""Ulaşım"":[{""name"":""Otobüs Durağı"",""distance_m"":133},{""name"":""53035 Nolu Otobüs Durağı"",""distance_m"":149},{""name"":""Otobüs Durağı"",""distance_m"":189},{""name"":""Bedriye Halil Naci Mıhcıoğlu İlkokulu"",""distance_m"":250},{""name"":""Peyami Safa Anadolu Lisesi"",""distance_m"":290},{""name"":""Şehit Bekir Pehlivan Ortaokulu"",""distance_m"":366},{""name"":""Bim - İnönü Caddesi Şubesi"",""distance_m"":105},{""name"":""Tarım Kredi Kooperatif Market"",""distance_m"":327}],""Eğitim Kurumları"":[{""name"":""Otobüs Durağı"",""distance_m"":133},{""name"":""53035 Nolu Otobüs Durağı"",""distance_m"":149},{""name"":""Otobüs Durağı"",""distance_m"":189},{""name"":""Bedriye Halil Naci Mıhcıoğlu İlkokulu"",""distance_m"":250},{""name"":""Peyami Safa Anadolu Lisesi"",""distance_m"":290},{""name"":""Şehit Bekir Pehlivan Ortaokulu"",""distance_m"":366},{""name"":""Bim - İnönü Caddesi Şubesi"",""distance_m"":105},{""name"":""Tarım Kredi Kooperatif Market"",""distance_m"":327}],""Marketler"":[{""name"":""Otobüs Durağı"",""distance_m"":133},{""name"":""53035 Nolu Otobüs Durağı"",""distance_m"":149},{""name"":""Otobüs Durağı"",""distance_m"":189},{""name"":""Bedriye Halil Naci Mıhcıoğlu İlkokulu"",""distance_m"":250},{""name"":""Peyami Safa Anadolu Lisesi"",""distance_m"":290},{""name"":""Şehit Bekir Pehlivan Ortaokulu"",""distance_m"":366},{""name"":""Bim - İnönü Caddesi Şubesi"",""distance_m"":105},{""name"":""Tarım Kredi Kooperatif Market"",""distance_m"":327}]}",Kablo TV - Uydu|Duşakabinli|Çelik Kapı|Vestiyer|Parke|Kuzey Cepheli|Batı Cepheli|Caddeye Yakın|Hastaneye Yakın|Okula Yakın|Camiye Yakın,11.0,8.0,3.228 - Az yoğun,%30 İlkokul,35,%45 Evli,C,39.162 TL,39162.0
,135 m²,Polatlı,,Genel Fiyat,Satılık,11-15,Daire,Kat Mülkiyeti,Konut,polatli,Var,https://www.emlakjet.com/ilan/an-ka-dan-dis-hastenesinin-ustunde-giris-kat-satilik-daire-18828353,1,ankara_20-25_ilce_12sayfa.csv,18828353.0,Kombi Doğalgaz,An-ka'dan Diş Hastenesinin Üstünde Giriş Kat Satılık Daire,Mülk Sahibi Oturuyor,4.0,2.695.000 TL,14 Nisan 2026,3+1,Hayır,Düz Giriş (Zemin),OK,Ankara - Polatlı - Şehitlik Mahallesi,Krediye Uygun,150 m²,Ankara,Polatlı,Şehitlik Mahallesi,130.0,130.0,130.0,"{""Ulaşım"":[{""name"":""Otobüs Durağı"",""distance_m"":130},{""name"":""Minibüs Durağı"",""distance_m"":135},{""name"":""Şehitlik Taksi Durağı"",""distance_m"":153},{""name"":""Sevim Aras Anaokulu"",""distance_m"":384},{""name"":""Sevim Aras İlkokulu"",""distance_m"":385},{""name"":""Ankara Hacı Bayram Veli Üniversitesi Profesör Doktor Kemal Bıyıkoğlu Yerleşkesi"",""distance_m"":527},{""name"":""A - 101"",""distance_m"":229},{""name"":""Tarım Kredi Kooperatif Market - Şehitlik Şubesi"",""distance_m"":326}],""Eğitim Kurumları"":[{""name"":""Otobüs Durağı"",""distance_m"":130},{""name"":""Minibüs Durağı"",""distance_m"":135},{""name"":""Şehitlik Taksi Durağı"",""distance_m"":153},{""name"":""Sevim Aras Anaokulu"",""distance_m"":384},{""name"":""Sevim Aras İlkokulu"",""distance_m"":385},{""name"":""Ankara Hacı Bayram Veli Üniversitesi Profesör Doktor Kemal Bıyıkoğlu Yerleşkesi"",""distance_m"":527},{""name"":""A - 101"",""distance_m"":229},{""name"":""Tarım Kredi Kooperatif Market - Şehitlik Şubesi"",""distance_m"":326}],""Marketler"":[{""name"":""Otobüs Durağı"",""distance_m"":130},{""name"":""Minibüs Durağı"",""distance_m"":135},{""name"":""Şehitlik Taksi Durağı"",""distance_m"":153},{""name"":""Sevim Aras Anaokulu"",""distance_m"":384},{""name"":""Sevim Aras İlkokulu"",""distance_m"":385},{""name"":""Ankara Hacı Bayram Veli Üniversitesi Profesör Doktor Kemal Bıyıkoğlu Yerleşkesi"",""distance_m"":527},{""name"":""A - 101"",""distance_m"":229},{""name"":""Tarım Kredi Kooperatif Market - Şehitlik Şubesi"",""distance_m"":326}]}",Batı Cepheli|Güney Cepheli,2.0,19.0,26.751 - Çok yoğun,%24 Üniversite ve Üstü,33,%50 Evli,C,,
,92 m²,Polatlı,,Genel Fiyat,Satılık,21 Ve Üzeri,Daire,Kat Mülkiyeti,Konut,polatli,Yok,https://www.emlakjet.com/ilan/esyali-bolgenin-en-uygun-31-i-yatirim-icin-altin-firsat-18826683,1,ankara_20-25_ilce_12sayfa.csv,18826683.0,Sobalı,Eşyalı Bölgenin En Uygun 3+1 İ Yatırım İçin Altın Fırsat!,Boş,5.0,869.000 TL,09 Şubat 2026,3+1,Hayır,Bahçe Katı,OK,Ankara - Polatlı - Zafer Mahallesi,Krediye Uygun,105 m²,Ankara,Polatlı,Zafer Mahallesi,157.0,157.0,157.0,"{""Ulaşım"":[{""name"":""53030 Nolu Otobüs Durağı"",""distance_m"":390},{""name"":""Otobüs Durağı"",""distance_m"":397},{""name"":""Otobüs Durağı"",""distance_m"":434},{""name"":""İnkılap İlkokulu"",""distance_m"":157},{""name"":""İnkılap Anaokulu"",""distance_m"":158},{""name"":""Özel Teorik Anadolu Lisesi"",""distance_m"":483},{""name"":""A - 101 - Biyiktay Polatli Ankara Şubesi"",""distance_m"":310},{""name"":""Bim - Atatürk Şubesi"",""distance_m"":311}],""Eğitim Kurumları"":[{""name"":""53030 Nolu Otobüs Durağı"",""distance_m"":390},{""name"":""Otobüs Durağı"",""distance_m"":397},{""name"":""Otobüs Durağı"",""distance_m"":434},{""name"":""İnkılap İlkokulu"",""distance_m"":157},{""name"":""İnkılap Anaokulu"",""distance_m"":158},{""name"":""Özel Teorik Anadolu Lisesi"",""distance_m"":483},{""name"":""A - 101 - Biyiktay Polatli Ankara Şubesi"",""distance_m"":310},{""name"":""Bim - Atatürk Şubesi"",""distance_m"":311}],""Marketler"":[{""name"":""53030 Nolu Otobüs Durağı"",""distance_m"":390},{""name"":""Otobüs Durağı"",""distance_m"":397},{""name"":""Otobüs Durağı"",""distance_m"":434},{""name"":""İnkılap İlkokulu"",""distance_m"":157},{""name"":""İnkılap Anaokulu"",""distance_m"":158},{""name"":""Özel Teorik Anadolu Lisesi"",""distance_m"":483},{""name"":""A - 101 - Biyiktay Polatli Ankara Şubesi"",""distance_m"":310},{""name"":""Bim - Atatürk Şubesi"",""distance_m"":311}]}",,,20.0,10.201 - Normal,%32 İlkokul,34,%47 Evli,C,36.482 TL,36482.0
,140 m²,Polatlı,,Genel Fiyat,Satılık,0 (Yeni),Daire,Kat Mülkiyeti,Konut,polatli,Var,https://www.emlakjet.com/ilan/altindeger-gayrimenkul-sentepe-mahallesi-sag-satilik-41-daire-18826680,2,ankara_20-25_ilce_12sayfa.csv,18826680.0,Kombi Doğalgaz,Altındeğer Gayrimenkul-şentepe Mahallesi(sağ) Satılık 4+1 Daire,Boş,7.0,3.950.000 TL,14 Nisan 2026,4+1,Hayır,3.Kat,OK,Ankara - Polatlı - Şentepe Mahallesi,Krediye Uygun,165 m²,Ankara,Polatlı,Şentepe Mahallesi,233.0,233.0,233.0,"{""Ulaşım"":[{""name"":""Otobüs Durağı"",""distance_m"":332},{""name"":""Otobüs Durağı"",""distance_m"":352},{""name"":""Otobüs Durağı"",""distance_m"":462},{""name"":""Şehit Yaşar Çetinkaya Ortaokulu"",""distance_m"":549},{""name"":""Şehit Yaşar Çetinkaya İlkokulu"",""distance_m"":551},{""name"":""Polatlı Şehit Can Çalışkan Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":861},{""name"":""Bim - Sivri Tepe Şubesi"",""distance_m"":233},{""name"":""A - 101"",""distance_m"":257}],""Eğitim Kurumları"":[{""name"":""Otobüs Durağı"",""distance_m"":332},{""name"":""Otobüs Durağı"",""distance_m"":352},{""name"":""Otobüs Durağı"",""distance_m"":462},{""name"":""Şehit Yaşar Çetinkaya Ortaokulu"",""distance_m"":549},{""name"":""Şehit Yaşar Çetinkaya İlkokulu"",""distance_m"":551},{""name"":""Polatlı Şehit Can Çalışkan Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":861},{""name"":""Bim - Sivri Tepe Şubesi"",""distance_m"":233},{""name"":""A - 101"",""distance_m"":257}],""Marketler"":[{""name"":""Otobüs Durağı"",""distance_m"":332},{""name"":""Otobüs Durağı"",""distance_m"":352},{""name"":""Otobüs Durağı"",""distance_m"":462},{""name"":""Şehit Yaşar Çetinkaya Ortaokulu"",""distance_m"":549},{""name"":""Şehit Yaşar Çetinkaya İlkokulu"",""distance_m"":551},{""name"":""Polatlı Şehit Can Çalışkan Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":861},{""name"":""Bim - Sivri Tepe Şubesi"",""distance_m"":233},{""name"":""A - 101"",""distance_m"":257}]}",Çelik Kapı|Vestiyer|Kartonpiyer|Isı Yalıtımı|Ses Yalıtımı|Dolmuş,6.0,28.0,17.420 - Normal,%27 İlkokul,32,%49 Evli,C,46.763 TL,46763.0
,242 m²,Polatlı,,Genel Fiyat,Satılık,16-20,Villa,Kat Mülkiyeti,Konut,polatli,Yok,https://www.emlakjet.com/ilan/sehitlikte-sauna-jakuzili-bahceli-ozel-villa-18826677,1,ankara_20-25_ilce_12sayfa.csv,18826677.0,Kombi Doğalgaz,Şehitlikte Sauna & Jakuzili Bahçeli Özel Villa,Boş,3.0,7.800.000 TL,09 Şubat 2026,4+1,Hayır,,OK,Ankara - Polatlı - Şehitlik Mahallesi,Krediye Uygun,268 m²,Ankara,Polatlı,Şehitlik Mahallesi,137.0,137.0,137.0,"{""Ulaşım"":[{""name"":""Otobüs Durağı"",""distance_m"":146},{""name"":""Otobüs Durağı"",""distance_m"":240},{""name"":""Minibüs Durağı"",""distance_m"":289},{""name"":""Sevim Aras Anaokulu"",""distance_m"":264},{""name"":""Sevim Aras İlkokulu"",""distance_m"":264},{""name"":""İlkadım Anaokulu"",""distance_m"":585},{""name"":""A - 101"",""distance_m"":137},{""name"":""Bim - Şehitlik Şubesi"",""distance_m"":320}],""Eğitim Kurumları"":[{""name"":""Otobüs Durağı"",""distance_m"":146},{""name"":""Otobüs Durağı"",""distance_m"":240},{""name"":""Minibüs Durağı"",""distance_m"":289},{""name"":""Sevim Aras Anaokulu"",""distance_m"":264},{""name"":""Sevim Aras İlkokulu"",""distance_m"":264},{""name"":""İlkadım Anaokulu"",""distance_m"":585},{""name"":""A - 101"",""distance_m"":137},{""name"":""Bim - Şehitlik Şubesi"",""distance_m"":320}],""Marketler"":[{""name"":""Otobüs Durağı"",""distance_m"":146},{""name"":""Otobüs Durağı"",""distance_m"":240},{""name"":""Minibüs Durağı"",""distance_m"":289},{""name"":""Sevim Aras Anaokulu"",""distance_m"":264},{""name"":""Sevim Aras İlkokulu"",""distance_m"":264},{""name"":""İlkadım Anaokulu"",""distance_m"":585},{""name"":""A - 101"",""distance_m"":137},{""name"":""Bim - Şehitlik Şubesi"",""distance_m"":320}]}",ADSL|Wi-Fi|Küvet|Sauna|Jakuzi|Giyinme Odası|Vestiyer|Çamaşır Odası|Kamera Sistemi|Şömine|Hidrofor|Su Deposu|Dolmuş|Minibüs,14.0,25.0,26.751 - Çok yoğun,%24 Üniversite ve Üstü,33,%50 Evli,C,,
,113 m²,Polatlı,,Genel Fiyat,Satılık,4,Daire,Kat Mülkiyeti,Konut,polatli,Yok,https://www.emlakjet.com/ilan/devlet-hastanesi-karsisi-yatirima-uygun-21-satilik-sifir-daire-18826676,1,ankara_20-25_ilce_12sayfa.csv,18826676.0,Kombi Doğalgaz,Devlet Hastanesi Karşısı Yatırıma Uygun 2+1 Satılık Sıfır Daire,Boş,11.0,2.420.000 TL,09 Şubat 2026,2+1,Evet,5.Kat,OK,Ankara - Polatlı - İstiklal Mahallesi,Krediye Uygun Değil,120 m²,Ankara,Polatlı,İstiklal Mahallesi,143.0,143.0,143.0,"{""Ulaşım"":[{""name"":""Hastane Taksi Durağı"",""distance_m"":143},{""name"":""Otobüs Durağı"",""distance_m"":259},{""name"":""53021 Nolu Otobüs Durağı"",""distance_m"":349},{""name"":""Mehmet Akif Ersoy İlkokulu"",""distance_m"":1600},{""name"":""Mehmet Akif Ersoy Ortaokulu"",""distance_m"":1600},{""name"":""İnönü Ortaokulu"",""distance_m"":1700},{""name"":""Bim"",""distance_m"":1100},{""name"":""A - 101 - Kartaltepe Şubesi"",""distance_m"":1200}],""Eğitim Kurumları"":[{""name"":""Hastane Taksi Durağı"",""distance_m"":143},{""name"":""Otobüs Durağı"",""distance_m"":259},{""name"":""53021 Nolu Otobüs Durağı"",""distance_m"":349},{""name"":""Mehmet Akif Ersoy İlkokulu"",""distance_m"":1600},{""name"":""Mehmet Akif Ersoy Ortaokulu"",""distance_m"":1600},{""name"":""İnönü Ortaokulu"",""distance_m"":1700},{""name"":""Bim"",""distance_m"":1100},{""name"":""A - 101 - Kartaltepe Şubesi"",""distance_m"":1200}],""Marketler"":[{""name"":""Hastane Taksi Durağı"",""distance_m"":143},{""name"":""Otobüs Durağı"",""distance_m"":259},{""name"":""53021 Nolu Otobüs Durağı"",""distance_m"":349},{""name"":""Mehmet Akif Ersoy İlkokulu"",""distance_m"":1600},{""name"":""Mehmet Akif Ersoy Ortaokulu"",""distance_m"":1600},{""name"":""İnönü Ortaokulu"",""distance_m"":1700},{""name"":""Bim"",""distance_m"":1100},{""name"":""A - 101 - Kartaltepe Şubesi"",""distance_m"":1200}]}",ADSL|Çelik Kapı|Kartonpiyer|Isı Yalıtımı|Apartman Görevlisi|Jeneratör|Kamera Sistemi|Alüminyum Doğrama|Isıcam|Yangın Merdiveni|Su Deposu|Ses Yalıtımı|Anayol|Dolmuş|Tren İstasyonu,15.0,30.0,6.750 - Az yoğun,%25 Üniversite ve Üstü,29,%50 Evli,C,,
,115 m²,Polatlı,,Genel Fiyat,Satılık,21 Ve Üzeri,Daire,Kat Mülkiyeti,Konut,polatli,Yok,https://www.emlakjet.com/ilan/sentepe-toki-konutlarinda-ara-kat-31-satilik-daire-18826673,1,ankara_20-25_ilce_12sayfa.csv,18826673.0,Kombi Doğalgaz,Şentepe Toki Konutlarında Ara Kat 3+1 Satılık Daire,Mülk Sahibi Oturuyor,7.0,Anasayfa>Satılık Daire>Ankara Satılık Daire>Polatlı Satılık Daire>Şentepe Mahallesi Satılık Daire>ŞENTEPE TOKİ KONUTLARINDA ARA KAT 3+1 SATILIK DAİRE,04 Şubat 2026,3+1,Hayır,5.Kat,OK,Ankara - Polatlı - Şentepe Mahallesi,Krediye Uygun Değil,125 m²,Ankara,Polatlı,Şentepe Mahallesi,101.0,101.0,101.0,"{""Ulaşım"":[{""name"":""Otobüs Durağı"",""distance_m"":101},{""name"":""Otobüs Durağı"",""distance_m"":132},{""name"":""Otobüs Durağı"",""distance_m"":623},{""name"":""Şehit Yaşar Çetinkaya Ortaokulu"",""distance_m"":224},{""name"":""Şehit Yaşar Çetinkaya İlkokulu"",""distance_m"":224},{""name"":""Polatlı Şehit Can Çalışkan Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":486},{""name"":""Şok Market - Değirmencioğlu İş Merkezi Şubesi"",""distance_m"":285},{""name"":""A - 101"",""distance_m"":600}],""Eğitim Kurumları"":[{""name"":""Otobüs Durağı"",""distance_m"":101},{""name"":""Otobüs Durağı"",""distance_m"":132},{""name"":""Otobüs Durağı"",""distance_m"":623},{""name"":""Şehit Yaşar Çetinkaya Ortaokulu"",""distance_m"":224},{""name"":""Şehit Yaşar Çetinkaya İlkokulu"",""distance_m"":224},{""name"":""Polatlı Şehit Can Çalışkan Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":486},{""name"":""Şok Market - Değirmencioğlu İş Merkezi Şubesi"",""distance_m"":285},{""name"":""A - 101"",""distance_m"":600}],""Marketler"":[{""name"":""Otobüs Durağı"",""distance_m"":101},{""name"":""Otobüs Durağı"",""distance_m"":132},{""name"":""Otobüs Durağı"",""distance_m"":623},{""name"":""Şehit Yaşar Çetinkaya Ortaokulu"",""distance_m"":224},{""name"":""Şehit Yaşar Çetinkaya İlkokulu"",""distance_m"":224},{""name"":""Polatlı Şehit Can Çalışkan Mesleki ve Teknik Anadolu Lisesi"",""distance_m"":486},{""name"":""Şok Market - Değirmencioğlu İş Merkezi Şubesi"",""distance_m"":285},{""name"":""A - 101"",""distance_m"":600}]}",,,28.0,17.420 - Normal,%27 İlkokul,32,%49 Evli,C,46.763 TL,46763.0
